"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Mar 09 07:07:34 UTC 2024","Sat Mar 09 07:07:34 UTC 2024","32","","yo.dbunitcli.application.GenerateTest","","yo.dbunitcli.application.GenerateTest","testGenerateUpdate","testGenerateUpdate()",""
"passed","Sat Mar 09 07:07:31 UTC 2024","Sat Mar 09 07:07:31 UTC 2024","47","","yo.dbunitcli.application.ConvertTest","","yo.dbunitcli.application.ConvertTest","testConvertInnerJoinWithSeparate","testConvertInnerJoinWithSeparate()",""
"passed","Sat Mar 09 07:07:33 UTC 2024","Sat Mar 09 07:07:33 UTC 2024","78","","yo.dbunitcli.application.DBIntegrationTest","","yo.dbunitcli.application.DBIntegrationTest","generateSetting","generateSetting()",""
"passed","Sat Mar 09 07:07:31 UTC 2024","Sat Mar 09 07:07:31 UTC 2024","16","","yo.dbunitcli.application.ConvertTest","","yo.dbunitcli.application.ConvertTest","testFromCsvqToCsv","testFromCsvqToCsv()",""
"passed","Sat Mar 09 07:07:16 UTC 2024","Sat Mar 09 07:07:16 UTC 2024","266","","yo.dbunitcli.application.CompareTest","","yo.dbunitcli.application.CompareTest","testComparePdf","testComparePdf()",""
"passed","Sat Mar 09 07:07:13 UTC 2024","Sat Mar 09 07:07:13 UTC 2024","0","","yo.dbunitcli.application.CompareOptionTest","","yo.dbunitcli.application.CompareOptionTest","parseRequiredNewFileDirExists","parseRequiredNewFileDirExists()",""
"passed","Sat Mar 09 07:07:16 UTC 2024","Sat Mar 09 07:07:24 UTC 2024","7398","","yo.dbunitcli.application.CompareTest","","yo.dbunitcli.application.CompareTest","testResultXlsx","testResultXlsx()",""
"passed","Sat Mar 09 07:07:29 UTC 2024","Sat Mar 09 07:07:29 UTC 2024","109","","yo.dbunitcli.application.CompareTest.ExitCodeTest","","yo.dbunitcli.application.CompareTest$ExitCodeTest","testFailedUnExpectedNoDiff","testFailedUnExpectedNoDiff()",""
"passed","Sat Mar 09 07:07:35 UTC 2024","Sat Mar 09 07:07:35 UTC 2024","0","","yo.dbunitcli.dataset.producer.ComparableDirectoryDataSetProducerTest","","yo.dbunitcli.dataset.producer.ComparableDirectoryDataSetProducerTest","test","test()",""
"passed","Sat Mar 09 07:07:30 UTC 2024","Sat Mar 09 07:07:30 UTC 2024","141","","yo.dbunitcli.application.ConvertTest","","yo.dbunitcli.application.ConvertTest","testTableNameMapNoSortToXlsxPerTable","testTableNameMapNoSortToXlsxPerTable()",""
"passed","Sat Mar 09 07:07:31 UTC 2024","Sat Mar 09 07:07:31 UTC 2024","47","","yo.dbunitcli.application.ConvertTest","","yo.dbunitcli.application.ConvertTest","testXlsxWithSchemaToCsv","testXlsxWithSchemaToCsv()",""
"passed","Sat Mar 09 07:07:30 UTC 2024","Sat Mar 09 07:07:30 UTC 2024","47","","yo.dbunitcli.application.ConvertTest","","yo.dbunitcli.application.ConvertTest","testConvertFullJoin","testConvertFullJoin()",""
"passed","Sat Mar 09 07:07:35 UTC 2024","Sat Mar 09 07:07:35 UTC 2024","0","","yo.dbunitcli.dataset.producer.ComparableXlsDataSetProducerTest","","yo.dbunitcli.dataset.producer.ComparableXlsDataSetProducerTest","createDataSetFromFileIncludeSheet","createDataSetFromFileIncludeSheet()",""
"passed","Sat Mar 09 07:07:15 UTC 2024","Sat Mar 09 07:07:16 UTC 2024","1172","","yo.dbunitcli.application.CompareTest","","yo.dbunitcli.application.CompareTest","testComparePdfDiffAllPage","testComparePdfDiffAllPage()",""
"passed","Sat Mar 09 07:07:31 UTC 2024","Sat Mar 09 07:07:31 UTC 2024","47","","yo.dbunitcli.application.ConvertTest","","yo.dbunitcli.application.ConvertTest","testTableNameMap","testTableNameMap()",""
"passed","Sat Mar 09 07:07:26 UTC 2024","Sat Mar 09 07:07:26 UTC 2024","235","","yo.dbunitcli.application.CompareTest","","yo.dbunitcli.application.CompareTest","testComparePatternMatch","testComparePatternMatch()",""
"passed","Sat Mar 09 07:07:35 UTC 2024","Sat Mar 09 07:07:35 UTC 2024","0","","yo.dbunitcli.dataset.ComparableTableTest","","yo.dbunitcli.dataset.ComparableTableTest","getRowCount_return_delegateTableRowCount","getRowCount_return_delegateTableRowCount()",""
"passed","Sat Mar 09 07:07:34 UTC 2024","Sat Mar 09 07:07:34 UTC 2024","31","","yo.dbunitcli.application.GenerateTest","","yo.dbunitcli.application.GenerateTest","testGenerateCleanInsert","testGenerateCleanInsert()",""
"passed","Sat Mar 09 07:07:35 UTC 2024","Sat Mar 09 07:07:35 UTC 2024","0","","yo.dbunitcli.dataset.producer.ComparableCsvDataSetProducerTest","","yo.dbunitcli.dataset.producer.ComparableCsvDataSetProducerTest","createDataSetFromFile","createDataSetFromFile()",""
"passed","Sat Mar 09 07:07:35 UTC 2024","Sat Mar 09 07:07:35 UTC 2024","16","","yo.dbunitcli.dataset.producer.ComparableXlsxDataSetProducerTest","","yo.dbunitcli.dataset.producer.ComparableXlsxDataSetProducerTest","createDataSetFromFileIncludeSheet","createDataSetFromFileIncludeSheet()",""
"passed","Sat Mar 09 07:07:30 UTC 2024","Sat Mar 09 07:07:30 UTC 2024","62","","yo.dbunitcli.application.ConvertTest","","yo.dbunitcli.application.ConvertTest","testConvertInnerJoinByExpression","testConvertInnerJoinByExpression()",""
"passed","Sat Mar 09 07:07:12 UTC 2024","Sat Mar 09 07:07:12 UTC 2024","15","","yo.dbunitcli.application.CompareOptionTest","","yo.dbunitcli.application.CompareOptionTest","parseNoSettingFile","parseNoSettingFile()",""
"passed","Sat Mar 09 07:07:29 UTC 2024","Sat Mar 09 07:07:29 UTC 2024","829","","yo.dbunitcli.application.CompareTest.ExitCodeTest","","yo.dbunitcli.application.CompareTest$ExitCodeTest","testFailedResultDiffDifferExpected","testFailedResultDiffDifferExpected()",""
"passed","Sat Mar 09 07:07:13 UTC 2024","Sat Mar 09 07:07:14 UTC 2024","1008","","yo.dbunitcli.application.CompareTest","","yo.dbunitcli.application.CompareTest","testCompareXlsxAndCsv","testCompareXlsxAndCsv()",""
